,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
191,Monaco,"8,183",,44 ,,"7,635",,504,4,"206,225","1,109"
192,Comoros,"7,829",+2,160 ,+1,"7,630",+4,39,,"8,711",178
193,Sierra Leone,"7,612",,125 ,,N/A,N/A,N/A,,925,15
194,Guinea-Bissau,"7,544",,154 ,,"6,556",,834,6,"3,696",75
195,Liberia,"7,254",,290 ,,"5,747",,"1,217",2,"1,383",55
196,Chad,"7,073",,190 ,,"4,874",,"2,009",,412,11
197,Caribbean Netherlands,"6,876",,27 ,,"5,912",,937,,"258,438","1,015"
198,St. Vincent Grenadines,"6,668",,93 ,,"5,747",,828,7,"59,806",834
199,Antigua and Barbuda,"6,558",,127 ,,"5,899",,532,1,"66,106","1,280"
200,Sao Tome and Principe,"5,873",,69 ,,"5,426",,378,,"26,038",306
201,British Virgin Islands,"5,809",,49 ,,N/A,N/A,N/A,8,"190,160","1,604"
202,Turks and Caicos,"5,692",+14,34 ,,"5,446",+21,212,4,"143,952",860
203,Saint Kitts and Nevis,"5,403",+10,33 ,,"4,916",+39,454,1,"100,444",613
204,Bhutan,"4,430",,4 ,,"2,780",,"1,646",,"5,644",5
205,St. Barth,"3,435",,6 ,,N/A,N/A,N/A,,"346,131",605
206,Anguilla,"2,324",,8 ,,"2,258",,58,,"152,754",526
207,Palau,"1,393",, ,,126,,"1,267",9,"76,413",
208,Solomon Islands,898,,5 ,,25,,868,5,"1,259",7
209,Saint Pierre Miquelon,856,+17, ,,658,+35,198,1,"148,895",
210,Wallis and Futuna,454,,7 ,,438,,9,,"41,541",640
211,Kiribati,201,, ,,,,201,,"1,643",
212,Montserrat,162,,1 ,,154,,7,2,"32,419",200
213,Falkland Islands,85,, ,,N/A,N/A,N/A,,"23,358",
214,Vatican City,29,, ,,27,,2,,"36,070",
215,Samoa,27,, ,,3,,24,,135,
216,Western Sahara,10,,1 ,,8,,1,,16,2
217,China,"105,934",+59,"4,636 ",,"99,171",+200,"2,127",8,74,3
218,"370,617,031","+380,983","5,668,521",+897,"292,685,666","+325,731","72,262,844","95,087","47,546.7",727.2,
